U.S. Temperature
Year,Annual_Mean,Lowess(5)
1880,-0.43,-0.18
1881,0.17,-0.23
1882,0.00,-0.28
1883,-0.67,-0.31
1884,-0.67,-0.34
1885,-0.40,-0.35
1886,-0.26,-0.31
1887,-0.14,-0.20
1888,-0.30,-0.13
1889,0.25,-0.13
1890,0.15,-0.17
1891,-0.24,-0.21
1892,-0.50,-0.27
1893,-0.72,-0.33
1894,0.03,-0.34
1895,-0.77,-0.33
1896,0.04,-0.30
1897,-0.22,-0.25
1898,-0.29,-0.20
1899,-0.51,-0.17
1900,0.44,-0.20
1901,-0.07,-0.24
1902,-0.17,-0.27
1903,-0.68,-0.30
1904,-0.48,-0.34
1905,-0.52,-0.34
1906,-0.09,-0.29
1907,-0.29,-0.21
1908,0.06,-0.13
1909,-0.31,-0.11
1910,0.24,-0.12
1911,0.05,-0.13
1912,-0.92,-0.15
1913,-0.18,-0.22
1914,-0.04,-0.31
1915,-0.24,-0.35
1916,-0.61,-0.35
1917,-1.06,-0.37
1918,-0.05,-0.36
1919,-0.21,-0.30
1920,-0.50,-0.23
1921,1.01,-0.19
1922,0.06,-0.16
1923,-0.16,-0.11
1924,-0.74,-0.06
1925,0.31,-0.05
1926,-0.02,-0.06
1927,0.10,-0.04
1928,-0.03,0.01
1929,-0.60,0.05
1930,0.04,0.11
1931,0.92,0.20
1932,-0.07,0.28
1933,0.58,0.31
1934,1.14,0.28
1935,-0.03,0.27
1936,0.10,0.28
1937,-0.19,0.27
1938,0.70,0.26
1939,0.74,0.28
1940,-0.02,0.28
1941,0.45,0.24
1942,-0.00,0.16
1943,0.07,0.11
1944,0.00,0.10
1945,-0.09,0.08
1946,0.57,0.07
1947,0.02,0.05
1948,-0.12,0.01
1949,0.15,-0.01
1950,-0.26,0.03
1951,-0.39,0.12
1952,0.25,0.19
1953,0.84,0.23
1954,0.78,0.28
1955,-0.08,0.30
1956,0.25,0.24
1957,0.13,0.15
1958,0.06,0.08
1959,0.16,0.05
1960,-0.22,0.03
1961,0.02,0.01
1962,-0.00,-0.01
1963,0.19,-0.03
1964,-0.10,-0.05
1965,-0.11,-0.08
1966,-0.20,-0.13
1967,-0.08,-0.16
1968,-0.29,-0.18
1969,-0.21,-0.18
1970,-0.15,-0.15
1971,-0.12,-0.11
1972,-0.30,-0.07
1973,0.25,-0.05
1974,0.19,-0.04
1975,-0.19,-0.04
1976,-0.24,-0.09
1977,0.35,-0.12
1978,-0.47,-0.09
1979,-0.54,-0.07
1980,0.24,-0.06
1981,0.65,-0.04
1982,-0.32,-0.00
1983,-0.00,0.06
1984,0.04,0.12
1985,-0.34,0.19
1986,0.74,0.27
1987,0.77,0.36
1988,0.35,0.45
1989,-0.09,0.48
1990,0.85,0.43
1991,0.66,0.39
1992,0.33,0.37
1993,-0.37,0.33
1994,0.47,0.27
1995,0.37,0.29
1996,-0.07,0.40
1997,0.13,0.52
1998,1.26,0.61
1999,1.04,0.70
2000,0.68,0.79
2001,0.94,0.80
2002,0.68,0.78
2003,0.68,0.79
2004,0.61,0.81
2005,0.91,0.78
2006,1.24,0.73
2007,0.91,0.68
2008,0.17,0.64
2009,0.22,0.58
2010,0.58,0.51
2011,0.67,0.51
2012,1.81,0.61
2013,0.26,0.77
2014,0.29,0.89
2015,1.35,0.97
2016,1.64,1.05
2017,1.43,1.13
2018,0.88,1.17
2019,0.42,1.13
2020,1.34,1.08
2021,1.40,1.03
2022,0.79,0.99
