Country,Country,Code,Year,Wine Production (tons),Average Temperature (F°),Minimum Temperature (F°),Maximum Temperature (F°),Median Temperature (F°),Standard Deviation
0,Africa,,1961,1852404.11,75.2513,76.69309999999999,79.4408,69.6686,3.421573346230702
1,Africa,,1962,2025007.8,75.5501,77.2988,78.4382,69.4436,3.179039932260848
2,Africa,,1963,1878570.94,75.67999999999999,76.91,79.0988,70.907,2.7566866396257166
3,Africa,,1964,1684229.29,75.18875,76.6634,78.134,69.9782,2.9519987153544904
4,Africa,,1965,2168052.69,75.14165,76.2836,78.21679999999999,69.8756,3.019434845523847
5,Africa,,1966,1305584.9,75.7433,77.1224,78.4796,70.2842,3.0505478989251027
6,Africa,,1967,1193523.09,75.0758,76.6328,78.4472,69.0206,3.2830935090385216
7,Africa,,1968,1602902.18,75.22115,76.61659999999999,78.5714,69.008,3.132403151952773
8,Africa,,1969,1382349.24,76.1987,77.38159999999999,78.872,70.3886,2.9664877579693183
9,Africa,,1970,1343776.01,75.77885,77.0666,78.638,69.7784,2.9972993421351215
10,Africa,,1971,1543858.06,75.07955,76.5959,77.9756,69.6146,3.2014391208557207
11,Africa,,1972,1211130.82,75.55835,77.22139999999999,79.214,69.7964,3.250382044258234
12,Africa,,1973,1240521.79,75.92014999999999,77.62010000000001,79.1762,69.7568,3.32583523467141
13,Africa,,1974,1247886.59,74.89475,76.6868,78.206,68.9036,3.397900079995927
14,Africa,,1975,1113197.78,75.05555,76.64810000000001,78.0818,68.6696,3.2216712592577337
15,Africa,,1976,1017443.52,75.04145,76.6805,78.4058,68.8892,3.1122084192009805
16,Africa,,1977,819303.71,75.69365,77.06210000000002,78.68299999999999,70.403,3.0737488465745093
17,Africa,,1978,822311.26,75.5999,76.8443,78.55879999999999,70.2032,2.908477958095483
18,Africa,,1979,983469.18,76.09715,77.6669,78.92420000000001,69.92240000000001,3.070370012792358
19,Africa,,1980,1046523.96,76.004,77.53190000000001,78.94399999999999,69.8702,3.169846724140692
20,Africa,,1981,983725.01,75.73535,77.5238,78.4706,68.9432,3.2916149152049985
21,Africa,,1982,922401.18,75.58085,77.2205,79.0142,69.8738,3.3337860258816274
22,Africa,,1983,984909.79,76.24295,77.765,80.0798,68.4212,3.7313082708104113
23,Africa,,1984,939363.72,75.8969,77.5292,79.3346,69.2978,3.613763720706006
24,Africa,,1985,842672.34,75.8117,76.8659,78.77120000000001,70.2878,3.007351786418194
25,Africa,,1986,754856.86,75.75695,77.31139999999999,78.8342,69.251,3.5143110134265108
26,Africa,,1987,855460.92,76.8596,78.02510000000001,80.3192,70.682,3.2143021807370387
27,Africa,,1988,829381.63,76.223,77.72,79.7936,69.4328,3.4924544690205805
28,Africa,,1989,866420.39,75.6029,77.2376,79.3706,68.0126,3.751786409407953
29,Africa,,1990,803775.21,76.46675,78.22130000000001,79.5686,70.5596,3.2169451676735434
30,Africa,,1991,851297.17,75.96005000000001,77.5193,79.5002,69.72800000000001,3.3540829892969106
31,Africa,,1992,814622.81,75.80375,77.76410000000001,78.90440000000001,69.55340000000001,3.3613529723231212
32,Africa,,1993,698721.13,76.1696,78.1916,79.1996,69.25999999999999,3.5649454393376874
33,Africa,,1994,759119.49,75.98975,77.477,79.4156,70.2248,3.321876214786408
34,Africa,,1995,785922.9,76.49315,77.90090000000001,79.9754,69.7658,3.5531203742114306
35,Africa,,1996,858186.69,76.3421,77.65700000000001,79.5902,71.54599999999999,2.9350927970462406
36,Africa,,1997,846948.63,76.4723,77.74430000000001,80.2904,71.34440000000001,3.331182291346692
37,Africa,,1998,800503.53,77.0369,78.6713,80.429,70.7882,3.4913553059989817
38,Africa,,1999,858310.16,76.53875000000001,78.0386,80.0402,70.7,3.3292316275681344
39,Africa,,2000,743884.23,76.25855,77.8172,79.8116,70.1474,3.4769417890648477
40,Africa,,2001,691556.0,76.7141,78.4454,79.8404,70.27879999999999,3.347506048606125
41,Africa,,2002,764697.77,76.9304,78.3338,80.1536,69.8702,3.4979194907310793
42,Africa,,2003,924704.29,77.04605,78.85849999999999,80.2256,71.3246,3.260315260969262
43,Africa,,2004,999120.2,76.81265,78.41120000000001,79.6496,71.3048,3.011990906813517
44,Africa,,2005,920707.01,77.2811,78.9224,80.3174,70.0988,3.2900033130682385
45,Africa,,2006,1028194.29,76.67405000000001,78.6713,79.4408,70.4534,3.2497144782272858
46,Africa,,2007,1008348.09,76.7327,78.25819999999999,80.07079999999999,70.412,3.2979568633818226
47,Africa,,2008,1048234.37,76.55839999999999,78.1988,79.8566,69.5768,3.5306723830403226
48,Africa,,2009,1029589.0,77.0477,78.6083,80.20400000000001,71.3624,3.0461060991489983
49,Africa,,2010,918976.87,77.8505,79.08709999999999,80.8268,72.2372,2.8560059186340534
50,Africa,,2011,991341.18,76.6157,78.11959999999999,79.7918,70.5002,3.382572363265455
51,Africa,,2012,1074573.84,76.50665,78.0206,79.9286,70.0718,3.301967276006557
52,Africa,,2013,1118822.68,77.37575000000001,78.4157,80.0078,71.8484,2.795749389443087
53,Albania,ALB,1961,3229.58,55.97015,57.4232,71.9996,38.4458,12.240442366671973
54,Albania,ALB,1962,4145.83,55.52375,55.6619,75.4592,37.1516,13.481547602860056
55,Albania,ALB,1963,2078.36,55.5545,54.822199999999995,73.742,35.0384,13.397238678446865
56,Albania,ALB,1964,2784.15,54.5276,55.0877,70.7504,33.8558,12.66246990555519
57,Albania,ALB,1965,3643.25,54.281150000000004,52.763,73.1498,33.2618,12.91088542280928
58,Albania,ALB,1966,4324.55,55.76825,57.082100000000004,73.1516,35.6594,12.638569562939972
59,Albania,ALB,1967,5600.96,54.719150000000006,55.04,73.3028,34.5488,13.10218261404634
60,Albania,ALB,1968,6522.66,55.16524999999999,55.956199999999995,71.8304,33.9602,12.576372119212644
61,Albania,ALB,1969,9180.71,55.04525,53.898799999999994,70.781,36.4172,12.326886298619407
62,Albania,ALB,1970,10251.19,55.1114,53.8241,72.0752,41.3096,11.6961075595104
63,Albania,ALB,1971,8164.66,54.56195,53.012299999999996,73.7816,40.127,12.412774857929085
64,Albania,ALB,1972,11793.4,54.69485,52.191500000000005,70.916,38.9408,11.643941467990983
65,Albania,ALB,1973,10886.22,54.476,53.3066,72.17420000000001,38.4566,13.1370423844528
66,Albania,ALB,1974,13607.77,54.6077,52.3778,72.96260000000001,39.425,12.105879208354626
67,Albania,ALB,1975,11793.4,54.62315,54.2471,71.1626,36.5774,12.781652700115252
68,Albania,ALB,1976,12246.99,53.66524999999999,54.694399999999995,69.8954,38.2262,11.265558655436973
69,Albania,ALB,1977,13607.77,55.80185,53.5766,72.662,38.4476,11.501946277083245
70,Albania,ALB,1978,16329.33,54.074450000000006,52.7882,70.9826,38.381,11.493910765151815
71,Albania,ALB,1979,15422.14,55.380500000000005,53.1977,70.691,37.5512,11.506307767797315
72,Albania,ALB,1980,19050.88,53.89175,53.430800000000005,71.708,35.0672,12.646203420250828
73,Albania,ALB,1981,20774.53,54.641600000000004,55.9508,71.195,33.9638,13.235068179513227
74,Albania,ALB,1982,19050.88,55.42745,54.329,72.00319999999999,37.9454,13.253205484540505
75,Albania,ALB,1983,21318.84,54.51964999999999,54.8186,72.734,37.1228,12.458828612419241
76,Albania,ALB,1984,20865.25,54.75334999999999,55.0013,70.43719999999999,40.4708,11.68224908580224
77,Albania,ALB,1985,20593.09,55.3067,54.7196,72.94460000000001,35.4344,13.219193824270691
78,Albania,ALB,1986,17236.51,55.50155,56.0696,73.9022,37.2074,12.939765213866902
79,Albania,ALB,1987,19958.06,55.39384999999999,54.6314,75.3512,37.9472,13.554210866704521
80,Albania,ALB,1988,22951.77,55.479350000000004,54.2885,77.27539999999999,38.282000000000004,13.985914526765846
81,Albania,ALB,1989,23223.93,55.0469,55.2371,71.6306,36.8708,11.840273623527455
82,Albania,ALB,1990,31751.47,56.243599999999994,56.208200000000005,73.5854,36.158,12.413560646911323
83,Albania,ALB,1991,10160.47,54.2099,52.859300000000005,71.6846,34.8404,13.401035328117544
84,Albania,ALB,1992,10704.78,55.5524,56.453,76.343,37.94,13.318463284819721
85,Albania,ALB,1993,8079.39,55.620650000000005,56.57,75.2072,36.6656,13.916751919147336
86,Albania,ALB,1994,8745.26,57.379400000000004,55.830200000000005,75.9398,40.9046,13.009025326078259
87,Albania,ALB,1995,15351.38,55.007749999999994,53.375,74.2586,38.111,12.15025651749415
88,Albania,ALB,1996,26566.91,54.9257,53.1167,72.72319999999999,38.8004,12.934336305986623
89,Albania,ALB,1997,15219.84,55.221650000000004,51.4022,72.5468,42.0494,12.256865100646843
90,Albania,ALB,1998,9528.16,55.96025,56.26219999999999,75.8174,36.77,13.668275320377349
91,Albania,ALB,1999,11528.5,56.576750000000004,56.387299999999996,74.6186,38.2028,13.280556075193676
92,Albania,ALB,2000,6724.96,56.74385,57.1325,75.18379999999999,32.7146,14.06047208417982
93,Albania,ALB,2001,12907.42,56.64275,56.7482,75.992,32.819,13.632465290054673
94,Albania,ALB,2002,6010.1,56.407849999999996,54.5603,74.7554,35.798,12.444503980655293
95,Albania,ALB,2003,8313.44,56.52785,53.861000000000004,77.1458,34.568599999999996,14.847243184602563
96,Albania,ALB,2004,12722.36,55.8647,56.5898,73.7186,36.8942,12.60399300236383
97,Albania,ALB,2005,15552.78,54.94475,54.407300000000006,74.0084,36.0626,13.510413651732101
98,Albania,ALB,2006,15422.14,55.358450000000005,56.6033,73.5926,35.2796,13.573609128445474
99,Albania,ALB,2007,16175.1,57.002900000000004,55.718599999999995,77.1332,38.4044,13.304687738059574
100,Albania,ALB,2008,14623.82,57.1193,55.9373,76.0262,39.947,12.75969110669149
101,Albania,ALB,2009,15875.73,56.91965,55.7231,74.8346,39.9884,12.846982996125094
102,Albania,ALB,2010,16420.04,56.79575,54.828500000000005,75.8912,40.0496,12.575213990335403
103,Albania,ALB,2011,16329.33,56.197849999999995,54.3992,75.3404,38.8184,13.718149633804648
104,Albania,ALB,2012,17236.51,56.782849999999996,57.0308,77.8532,35.0366,15.399544047825216
105,Albania,ALB,2013,16329.33,58.988975,60.7037,76.62740000000001,39.9416,14.599831479042102
106,Algeria,DZA,1961,1236668.79,74.1026,74.804,92.7896,51.9908,14.275996746732861
107,Algeria,DZA,1962,1360777.11,73.72835,74.63660000000002,93.263,54.977000000000004,14.63261932014162
108,Algeria,DZA,1963,1140805.68,73.9721,73.13000000000001,93.605,57.6032,13.27315328418438
109,Algeria,DZA,1964,950460.17,73.6655,72.5945,92.35940000000001,53.412800000000004,14.250744392805972
110,Algeria,DZA,1965,1272417.32,73.35275,73.3433,92.7284,54.0554,13.77400170997389
111,Algeria,DZA,1966,618907.74,73.9424,74.1182,93.17659999999998,53.6594,14.163256409841244
112,Algeria,DZA,1967,584777.63,73.151,73.52420000000001,91.22,51.7946,14.56463492061882
113,Algeria,DZA,1968,902648.82,73.73465,74.51060000000001,92.138,50.99,14.171889507209173
114,Algeria,DZA,1969,790203.27,74.22485,72.33170000000001,91.47200000000001,53.411,13.263220713242385
115,Algeria,DZA,1970,788524.98,73.9811,72.66739999999999,92.67620000000001,55.4234,13.660933494125102
116,Algeria,DZA,1971,838873.73,72.81005,73.0058,92.06960000000001,54.089600000000004,14.153840802507537
117,Algeria,DZA,1972,521937.85,72.8567,72.4973,93.1442,53.281400000000005,14.341961305585404
118,Algeria,DZA,1973,536131.67,73.1951,73.3955,93.39259999999999,51.8882,15.598071830139192
119,Algeria,DZA,1974,569868.05,72.57379999999999,70.84309999999999,90.8888,53.7224,14.780677135429828
120,Algeria,DZA,1975,391813.09,72.88955,73.5332,92.14880000000001,51.9872,14.426694303175376
121,Algeria,DZA,1976,343163.49,72.24215,72.13640000000001,92.77340000000001,51.4184,14.681687054936535
122,Algeria,DZA,1977,231219.62,74.38295000000001,74.3675,93.93440000000001,56.5142,13.43362094911664
123,Algeria,DZA,1978,166921.99,73.6913,72.6116,91.16060000000002,54.7466,13.243382511757611
124,Algeria,DZA,1979,245825.29,74.1143,73.6619,92.7986,54.5576,13.80464938634806
125,Algeria,DZA,1980,257414.58,73.6883,73.71770000000001,92.039,51.9998,14.542223096899594
126,Algeria,DZA,1981,242116.72,74.44265,76.3358,92.8886,50.432,14.640012755862552
127,Algeria,DZA,1982,137347.77,73.5695,73.45580000000001,93.4088,52.844,14.994038676147868
128,Algeria,DZA,1983,170157.92,74.62939999999999,75.1505,93.98479999999999,51.0422,15.13059857759645
129,Algeria,DZA,1984,126443.41,73.51355,73.9787,92.2406,52.871,14.81124350389994
130,Algeria,DZA,1985,85103.0,74.34725,74.02189999999999,92.9714,52.691,14.380239462445429
131,Algeria,DZA,1986,82218.15,73.86200000000001,74.3846,92.91740000000001,53.0366,15.10083375494696
132,Algeria,DZA,1987,83261.42,75.64595,76.46180000000001,94.5338,54.284,14.515228634813475
133,Algeria,DZA,1988,56336.17,74.8682,76.3403,95.0198,51.772999999999996,15.00565818955697
134,Algeria,DZA,1989,45697.62,74.7038,74.732,93.00919999999999,52.1168,14.349732504063681
135,Algeria,DZA,1990,43998.46,75.22595,76.18639999999999,93.3476,53.9726,14.637460257627904
136,Algeria,DZA,1991,41730.5,73.41995,73.45760000000001,93.9218,52.7342,14.917165004877008
137,Algeria,DZA,1992,37155.57,72.9806,73.4585,91.7672,51.665,14.233295535852163
138,Algeria,DZA,1993,58967.01,74.2115,74.79140000000001,93.95960000000001,51.8954,15.246388951784319
139,Algeria,DZA,1994,45359.24,74.55575,73.32080000000002,93.6806,54.1076,14.842671000530869
140,Algeria,DZA,1995,51800.25,74.70049999999999,73.5737,93.9974,51.4904,14.73430755346175
141,Algeria,DZA,1996,35561.64,74.7218,73.9265,93.6374,57.7544,13.586879287687141
142,Algeria,DZA,1997,32386.5,75.1193,74.36120000000001,94.81280000000001,57.010999999999996,14.289575994345732
143,Algeria,DZA,1998,32658.65,75.05705,76.0244,95.1044,54.1616,15.055746451378022
144,Algeria,DZA,1999,38243.28,75.73895,78.01160000000002,95.3204,53.9366,16.24098336770283
145,Algeria,DZA,2000,38430.16,75.25805000000001,75.5969,94.8794,52.268,14.807391914267932
146,Algeria,DZA,2001,38101.76,76.50395,77.5832,95.89640000000001,55.6286,14.777647479185955
147,Algeria,DZA,2002,45359.24,75.6734,74.9273,95.774,54.0842,14.544043339269365
148,Algeria,DZA,2003,54431.08,75.9086,77.6507,96.4922,54.9266,15.206594943223575
149,Algeria,DZA,2004,77110.7,75.0488,76.6985,94.15759999999999,55.4144,14.030053427747688
150,Algeria,DZA,2005,81646.63,75.60065,77.60300000000001,96.2636,51.3464,15.6935732926513
151,Algeria,DZA,2006,95254.4,75.56150000000001,78.35450000000002,94.25120000000001,52.4732,15.063961051342494
152,Algeria,DZA,2007,47173.61,75.31760000000001,75.749,93.8138,55.4666,14.328687406991364
153,Algeria,DZA,2008,45359.24,75.11045,75.9983,95.1836,53.4848,15.231558716183496
154,Algeria,DZA,2009,53378.75,75.4778,74.77430000000001,95.7668,54.419,14.2688535718377
155,Algeria,DZA,2010,8250.21,77.3882,77.8235,95.32939999999999,58.496,13.009692580254434
156,Algeria,DZA,2011,43544.87,75.4595,75.4547,95.00720000000001,55.4792,14.60168215751497
157,Algeria,DZA,2012,44633.49,75.1187,76.2647,94.92439999999999,52.4534,15.835244679798626
158,Algeria,DZA,2013,45177.8,77.2187,79.45159999999998,94.4726,55.0058,15.35227029278918
159,Argentina,ARG,1961,1519534.44,58.951249999999995,58.9703,70.3454,45.3632,8.810621804957925
160,Argentina,ARG,1962,1739254.58,58.73435,58.1729,70.1978,42.3626,9.973995380032472
161,Argentina,ARG,1963,1881864.02,58.7249,59.324,70.3706,47.723,8.36681160973087
162,Argentina,ARG,1964,1772003.95,57.97625,58.1378,71.06360000000001,43.5128,9.144228995432536
163,Argentina,ARG,1965,1657517.24,58.837250000000004,59.0099,70.7738,44.9456,8.614433415917311
164,Argentina,ARG,1966,1988276.79,58.4204,58.977500000000006,70.4642,46.3676,8.357146506053148
165,Argentina,ARG,1967,2555630.13,59.08955,60.3464,71.1464,41.858599999999996,9.659202102987784
166,Argentina,ARG,1968,1770189.58,59.35445000000001,57.4727,70.646,47.8904,8.421803086199962
167,Argentina,ARG,1969,1625312.18,59.473099999999995,59.085499999999996,71.17699999999999,47.0606,8.929430147551408
168,Argentina,ARG,1970,1665568.5,59.3516,60.70910000000001,70.7684,46.3244,8.879697374450224
169,Argentina,ARG,1971,1976135.94,58.372099999999996,58.5797,69.7838,42.5966,9.005285664238833
170,Argentina,ARG,1972,1813143.87,58.67315,57.8201,71.87,45.7214,8.952264041164517
171,Argentina,ARG,1973,2047243.8,58.276250000000005,58.7615,70.4048,43.42100000000001,9.29939372378651
172,Argentina,ARG,1974,2466019.33,58.3478,59.38879999999999,70.12219999999999,46.0184,8.414586220259546
173,Argentina,ARG,1975,2005155.87,58.8914,59.2727,70.88,44.6918,8.908552488479819
174,Argentina,ARG,1976,2558031.45,57.99245,57.9137,70.16720000000001,45.6008,8.799856776158869
175,Argentina,ARG,1977,2115436.88,59.63225,60.7505,70.5308,47.2694,8.591124649893057
176,Argentina,ARG,1978,1838559.56,59.33494999999999,59.602999999999994,69.773,46.6682,8.661841080016098
177,Argentina,ARG,1979,2390164.17,58.9544,58.653499999999994,71.843,46.799600000000005,8.499768255236566
178,Argentina,ARG,1980,2130975.14,59.408449999999995,59.0432,72.0464,45.5576,9.388142120443023
179,Argentina,ARG,1981,1977554.78,59.301350000000006,59.5706,70.0574,46.1552,8.57781639012676
180,Argentina,ARG,1982,2284354.68,59.46215,59.9738,71.4416,45.9518,8.776880311829583
181,Argentina,ARG,1983,2242484.47,58.9178,60.233000000000004,72.1508,43.3742,10.385265945384527
182,Argentina,ARG,1984,1706263.0,57.9215,59.1098,71.9204,42.4184,9.926460989240276
183,Argentina,ARG,1985,1427984.08,59.587250000000004,58.73179999999999,70.4966,47.0624,8.688141745924309
184,Argentina,ARG,1986,1684696.49,59.60255,59.927899999999994,71.76740000000001,48.4826,8.504790564520897
185,Argentina,ARG,1987,2360295.11,59.3375,60.2438,71.9816,48.3746,9.296800497727455
186,Argentina,ARG,1988,1871474.04,58.7054,58.060399999999994,71.0798,43.8728,10.244944925713806
187,Argentina,ARG,1989,1843173.5,59.977399999999996,59.8613,72.6008,46.2524,9.587477841055344
188,Argentina,ARG,1990,1273351.72,59.279149999999994,59.7902,71.6576,46.184,9.12969883487153
189,Argentina,ARG,1991,1315442.37,59.17565,58.8596,70.43719999999999,46.1282,8.624931990087596
190,Argentina,ARG,1992,1301816.45,58.530499999999996,58.9028,70.9772,42.332,9.40836064185853
191,Argentina,ARG,1993,1312772.52,59.177600000000005,59.864000000000004,70.9214,44.790800000000004,9.27479687363948
192,Argentina,ARG,1994,1648617.76,60.041599999999995,59.0,72.2606,46.4198,8.639709381475955
193,Argentina,ARG,1995,1491683.87,59.2697,59.4878,72.473,45.7322,9.320881821528964
194,Argentina,ARG,1996,1150400.97,59.38085,59.793800000000005,69.9602,44.806999999999995,8.952539852568
195,Argentina,ARG,1997,1224726.61,60.1172,60.426500000000004,72.3848,48.1316,8.05787176639318
196,Argentina,ARG,1998,1149709.69,59.47115,60.4157,70.3004,48.3836,8.06220882755408
197,Argentina,ARG,1999,1441307.9,59.11685,58.8848,70.7486,45.3542,9.144241439636405
198,Argentina,ARG,2000,1137337.51,58.550900000000006,60.145700000000005,71.76559999999999,43.3508,9.275003428178733
199,Argentina,ARG,2001,1436527.04,59.66675,59.7884,71.8358,46.324400000000004,9.197980993131049
200,Argentina,ARG,2002,1151671.03,59.33075,59.954,70.8566,44.4884,9.083980243013222
201,Argentina,ARG,2003,1199751.82,59.933,60.251900000000006,71.7638,47.0966,8.671901004550694
202,Argentina,ARG,2004,1402870.48,59.795899999999996,60.348200000000006,73.1966,47.084,9.367842726534802
203,Argentina,ARG,2005,1380916.61,59.2031,57.9893,71.5136,47.2154,9.070121261091773
204,Argentina,ARG,2006,1396701.63,60.00995,60.9161,71.9006,49.271,8.78947053990274
205,Argentina,ARG,2007,1364950.16,58.330549999999995,60.6929,71.0942,42.989000000000004,10.4465899111537
206,Argentina,ARG,2008,1331422.43,59.8568,59.5463,71.73140000000001,45.3506,9.614270477500906
207,Argentina,ARG,2009,1100911.32,59.96195,61.50200000000001,71.6306,44.9618,9.402224379030548
208,Argentina,ARG,2010,1459502.4,59.1419,58.839800000000004,72.3596,44.5262,9.802703092700318
209,Argentina,ARG,2011,1389617.33,59.6114,59.692099999999996,71.8268,45.7826,9.51725160862201
210,Argentina,ARG,2012,1057799.91,60.240199999999994,59.876599999999996,73.922,44.564,9.65841978040639
211,Argentina,ARG,2013,1359307.47,58.022825,56.8247,72.4586,47.0192,9.998328162783736
212,Armenia,ARM,1992,23369.08,45.7064,48.2675,68.4464,20.3612,17.17773585736649
213,Armenia,ARM,1993,24811.5,45.9854,47.8751,69.78739999999999,20.9066,18.1663264636925
214,Armenia,ARM,1994,21391.42,48.23825,51.9989,69.5246,22.387999999999998,17.228980747381325
215,Armenia,ARM,1995,9434.72,49.8059,49.027100000000004,72.1202,27.9284,16.254207540203243
216,Armenia,ARM,1996,7076.04,49.6745,48.3476,72.833,25.903399999999998,16.258399172120235
217,Armenia,ARM,1997,4436.13,48.64339999999999,50.67230000000001,72.44059999999999,26.200400000000002,16.802275493948592
218,Armenia,ARM,1998,2159.1,50.80715,52.8089,73.0976,24.448999999999998,17.40029962147988
219,Armenia,ARM,1999,5116.52,50.5958,50.32040000000001,74.77340000000001,30.203599999999998,15.537750517427492
220,Armenia,ARM,2000,3828.32,49.8527,51.197,76.39160000000001,25.5524,17.754511098668065
221,Armenia,ARM,2001,6323.08,50.79815,50.486900000000006,73.27759999999999,26.241799999999998,16.368262338190277
222,Armenia,ARM,2002,4200.27,49.288999999999994,49.914500000000004,71.98519999999999,21.268399999999996,17.226146109383205
223,Armenia,ARM,2003,2463.91,48.961549999999995,50.3402,72.617,28.031,16.786789322370026
224,Armenia,ARM,2004,6162.51,49.4963,49.4393,73.4216,24.1826,16.59015528613828
225,Armenia,ARM,2005,6626.98,49.52375000000001,50.410399999999996,74.25680000000001,24.429199999999998,17.34274458202256
226,Armenia,ARM,2006,3968.03,50.09629999999999,51.6875,77.5238,22.387999999999998,19.04108710408769
227,Armenia,ARM,2007,3855.54,49.163450000000005,48.938900000000004,72.5882,22.985599999999998,18.211639977897253
228,Armenia,ARM,2008,3453.65,49.47215,53.390299999999996,74.14699999999999,15.5912,19.088907691045936
229,Armenia,ARM,2009,4275.56,49.71575000000001,49.595,71.771,23.4212,15.465938742957348
230,Armenia,ARM,2010,5320.64,52.717099999999995,50.684,75.54560000000001,32.111599999999996,16.138870767188145
231,Armenia,ARM,2011,5617.29,48.444799999999994,48.3872,75.038,27.1544,17.917840494881077
232,Armenia,ARM,2012,5268.93,50.63135,54.7421,74.6366,22.137800000000002,18.77266235646931
233,Armenia,ARM,2013,5825.94,52.41875,55.138999999999996,71.2076,27.654799999999998,17.248047317305225
234,Asia,,1961,49613.93,46.017500000000005,46.7141,70.3814,19.4162,18.562616772525267
235,Asia,,1962,56652.78,46.32545,47.2496,71.0114,21.451999999999998,18.249971594523345
236,Asia,,1963,59532.18,46.2053,46.8266,70.3742,20.717599999999997,18.16319221692847
237,Asia,,1964,56266.32,45.01295,45.5891,70.0466,18.730399999999996,19.093238968069773
238,Asia,,1965,68176.75,45.321799999999996,46.472899999999996,70.1402,19.554799999999997,19.01046668912107
