Entity,Code,Year,Wine | 00000564 || Production | 005510 || tonnes
Africa,,1961,2041926
Africa,,1962,2232189
Africa,,1963,2070770
Africa,,1964,1856545
Africa,,1965,2389869
Africa,,1966,1439161
Africa,,1967,1315634
Africa,,1968,1766897.2
Africa,,1969,1523779.2
Africa,,1970,1481259.5
Africa,,1971,1701812.2
Africa,,1972,1335043.2
Africa,,1973,1367441.2
Africa,,1974,1375559.5
Africa,,1975,1227090.5
Africa,,1976,1121539.5
Africa,,1977,903127.75
Africa,,1978,906443
Africa,,1979,1084089.2
Africa,,1980,1153595.2
Africa,,1981,1084371.2
Africa,,1982,1016773.25
Africa,,1983,1085677.2
Africa,,1984,1035471.25
Africa,,1985,928887.25
Africa,,1986,832087.25
Africa,,1987,942984.25
Africa,,1988,914236.75
Africa,,1989,955065
Africa,,1990,886010.5
Africa,,1991,938394.5
Africa,,1992,897967.94
Africa,,1993,770208.2
Africa,,1994,836786
Africa,,1995,866331.7
Africa,,1996,945988.9
Africa,,1997,933601.06
Africa,,1998,882404.1
Africa,,1999,946125
Africa,,2000,819992
Africa,,2001,762310
Africa,,2002,842935
Africa,,2003,1019312
Africa,,2004,1101341.5
Africa,,2005,1014905.75
Africa,,2006,1133390.2
Africa,,2007,1111513.5
Africa,,2008,1155480.6
Africa,,2009,1134927.6
Africa,,2010,1012998.6
Africa,,2011,1092766.6
Africa,,2012,1184514.9
Africa,,2013,1233290.9
Africa,,2014,1236674.6
Africa,,2015,1218245.9
Africa,,2016,1137166.6
Africa,,2017,1188136
Africa,,2018,1060210.9
Africa,,2019,1068264.5
Africa,,2020,1125270.8
Africa (FAO),,1961,2041926
Africa (FAO),,1962,2232189
Africa (FAO),,1963,2070770
Africa (FAO),,1964,1856545
Africa (FAO),,1965,2389869
Africa (FAO),,1966,1439161
Africa (FAO),,1967,1315634
Africa (FAO),,1968,1766897.2
Africa (FAO),,1969,1523779.2
Africa (FAO),,1970,1481259.5
Africa (FAO),,1971,1701812.2
Africa (FAO),,1972,1335043.2
Africa (FAO),,1973,1367441.2
Africa (FAO),,1974,1375559.5
Africa (FAO),,1975,1227090.5
Africa (FAO),,1976,1121539.5
Africa (FAO),,1977,903127.75
Africa (FAO),,1978,906443
Africa (FAO),,1979,1084089.2
Africa (FAO),,1980,1153595.2
Africa (FAO),,1981,1084371.2
Africa (FAO),,1982,1016773.25
Africa (FAO),,1983,1085677.2
Africa (FAO),,1984,1035471.25
Africa (FAO),,1985,928887.25
Africa (FAO),,1986,832087.25
Africa (FAO),,1987,942984.25
Africa (FAO),,1988,914236.75
Africa (FAO),,1989,955065
Africa (FAO),,1990,886010.5
Africa (FAO),,1991,938394.5
Africa (FAO),,1992,897967.94
Africa (FAO),,1993,770208.2
Africa (FAO),,1994,836786
Africa (FAO),,1995,866331.7
Africa (FAO),,1996,945988.9
Africa (FAO),,1997,933601.06
Africa (FAO),,1998,882404.1
Africa (FAO),,1999,946125
Africa (FAO),,2000,819992
Africa (FAO),,2001,762310
Africa (FAO),,2002,842935
Africa (FAO),,2003,1019312
Africa (FAO),,2004,1101341.5
